               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.022671,            0.012552,          0.00063467,             0.89486,             0.83124,             0.87002,             0.50954,            0.028774,           0.0076067,           0.0016928,            0.004456,            0.004456,            0.004456
                 114,            0.021691,            0.012475,          0.00077125,             0.88452,             0.85258,             0.87287,             0.50231,            0.030484,           0.0079221,          0.00071742,           0.0044065,           0.0044065,           0.0044065
                 115,            0.021297,            0.012549,          0.00053061,             0.86743,             0.84532,             0.86966,             0.51621,             0.02858,           0.0074185,           0.0020159,            0.004357,            0.004357,            0.004357
                 116,            0.022743,            0.012247,          0.00052442,             0.92359,             0.83194,             0.88903,             0.48015,            0.030634,           0.0076441,           0.0017928,           0.0043075,           0.0043075,           0.0043075
                 117,            0.022073,            0.012598,          0.00042813,             0.88949,             0.84195,             0.89099,             0.51619,            0.029597,           0.0074474,           0.0013127,            0.004258,            0.004258,            0.004258
                 118,            0.021785,            0.011979,          0.00058675,              0.9077,             0.81169,             0.87306,             0.49674,            0.029994,             0.00796,          0.00084473,           0.0042085,           0.0042085,           0.0042085
                 119,            0.022335,            0.012505,          0.00078474,             0.90956,             0.84135,             0.88012,             0.50588,            0.029465,           0.0082637,           0.0011917,            0.004159,            0.004159,            0.004159
                 120,            0.020112,             0.01166,          0.00039511,             0.87352,             0.86484,             0.89176,             0.52504,            0.028566,           0.0078057,          0.00036109,           0.0041095,           0.0041095,           0.0041095
                 121,            0.020898,             0.01178,           0.0004551,              0.9164,               0.814,             0.87563,             0.51303,            0.030549,           0.0083377,          0.00027876,             0.00406,             0.00406,             0.00406
                 122,             0.02152,            0.012236,          0.00046662,             0.93534,             0.83206,             0.88369,             0.49886,            0.030053,           0.0079595,          0.00027536,           0.0040105,           0.0040105,           0.0040105
                 123,            0.021278,            0.012237,          0.00076221,             0.92353,             0.80574,             0.86661,             0.48663,            0.030726,           0.0080246,          0.00074147,            0.003961,            0.003961,            0.003961
                 124,            0.020692,            0.012107,          0.00045619,             0.88411,             0.85442,              0.8714,             0.46866,            0.030748,           0.0082804,          0.00050327,           0.0039115,           0.0039115,           0.0039115
                 125,            0.020192,            0.011499,          0.00042786,             0.87938,              0.8544,              0.8836,             0.52569,            0.027988,           0.0077083,          0.00051468,            0.003862,            0.003862,            0.003862
                 126,            0.020949,             0.01142,           0.0003778,             0.90369,             0.79054,              0.8606,             0.44923,            0.031179,           0.0088311,           0.0018251,           0.0038125,           0.0038125,           0.0038125
                 127,            0.020978,            0.011533,          0.00042938,             0.90633,             0.78591,             0.86219,             0.48366,            0.029734,           0.0083875,           0.0016095,            0.003763,            0.003763,            0.003763
                 128,            0.020611,            0.011637,          0.00047207,             0.90515,             0.85429,             0.88515,             0.50525,            0.029162,             0.00816,          0.00069332,           0.0037135,           0.0037135,           0.0037135
                 129,            0.020834,            0.011469,          0.00043727,             0.88004,             0.86238,             0.89374,             0.48926,            0.029495,           0.0082083,          0.00060826,            0.003664,            0.003664,            0.003664
                 130,            0.020751,            0.011721,          0.00041839,             0.89487,             0.83037,             0.88099,             0.47423,             0.03014,           0.0087349,          0.00089775,           0.0036145,           0.0036145,           0.0036145
                 131,            0.020367,            0.011575,          0.00040717,             0.90441,              0.8041,             0.87755,             0.48913,            0.029896,           0.0083272,           0.0012112,            0.003565,            0.003565,            0.003565
                 132,            0.019915,             0.01174,          0.00048399,             0.86036,             0.84438,             0.87126,             0.49835,            0.030034,           0.0081777,           0.0013544,           0.0035155,           0.0035155,           0.0035155
